SN,Result,TimeStamp,Remark,TactTime,Operator,SO/PO Number,Lot Number
K00000000012,PASS,12/23/2020_19:10:21,None,85.59954929351807,KE0155,200087,1
K00000000002,FAIL,12/23/2020_20:37:40,flash_modem_pkg pynrfjprog.APIError.APIError: An error was reported by NRFJPROG DLL: -4 INVALID_DEVICE_FOR_OPERATION.,25.962931394577026,KE0155,200087,1
K00000000002,PASS,12/23/2020_20:37:40,None,66.08047938346863,KE0155,200087,1
K00000000001,PASS,12/23/2020_20:45:52,None,68.80373358726501,KE0155,200087,1
K00000000001,PASS,12/23/2020_20:49:21,None,63.89760994911194,KE0155,200087,1
K00000000001,PASS,12/23/2020_20:51:31,None,72.83891201019287,KE0155,123,1
K00000000001,PASS,12/23/2020_21:03:20,None,62.92725443840027,KE0155,200087,1
K00000000001,PASS,12/23/2020_21:04:56,None,64.34469389915466,KE0155,200087,1
K00000000001,PASS,12/23/2020_21:07:49,None,67.68259620666504,KE0155,20,1
K00000000001,FAIL,12/23/2020_21:10:19,flash_modem_pkg pynrfjprog.APIError.APIError: An error was reported by NRFJPROG DLL: -12 LOW_VOLTAGE.,2.3660967350006104,KE0155,1,1
K00000000001,FAIL,12/23/2020_21:11:26,flash_modem_pkg pynrfjprog.APIError.APIError: An error was reported by NRFJPROG DLL: -12 LOW_VOLTAGE.,1.6494455337524414,KE0155,1,1
